question,answer,A,B,C,D
What hero does the phrase Moonlight shines upon the guilty and the innocent alike belong to?,Naisha,Maiev Shadowsong,Jeana Proudmoore,Tyrande Whisperwind,Naisha
Who is the leader of the Burning Legion?,Archimond,Archimond,Death Prince Arthas,Tichondrius,Varimathras
What is the name of the well from which Night Elfs originally obtained their magical powers?,Well of Eternity,MoonWell,Well of Magic,Well of Eternity,Well of Power
What hero or unit does the this phrase belong to?,Muradin Bronzebeard,Muradin Bronzebeard,Knight,Mountian Giant,Dwarf Rifleman
Who is Tyrande Whisperwind in love with?,Malfurion Stormrage,Malfurion Stormrage,Cenarius Stormage,Prince Arthas,Illidan Stormrage
"In Warcraft III:The Frozen Throne, Illidan Stormrage works for?",Kiljaeden,Tichondrius,Kiljaeden,Sargeras,Archimond
What is the name of the creator of Bloom County?,Berkely Brethed,Berkely Brethed,Simon Pimon,Chris Claremont,Charle Schultz
What was the name of the penguin in Bloom County?,Opus,Sandoval,Opus,Big Bertha,Salmoneus
What was the name of the hard rock band formed by lawyer Steve Dallas in the Bloom County comic strip?,Deathtongue,The Raiders,Deathtongue,Opus and the Orangeheads,Billy and the Boingers
Who did Opus marry in the comic strip Bloom County?,Lola Granola,Nola Spinuzzi,Lola Granola,Rona Amonia,Ima Petunia
What was the name of the feminist school teacher in Bloom County?,Bobbie Harlowe,Bobbie Simmons,Bobbie Harlowe,Bobbie Jo,Bobbie Smith
"In the comic strip Bloom County, Bill the cat became a televangelist. What was his name?",Fundamentally Oral Bill,Oral Bill,Fundamentally mental Bill,Bill Roberts,Fundamentally Oral Bill
What year did Andy Capp make his comic strip debut?,1957,1969,1957,1963,1972
Which of these is NOT one of Andy Capps hobbies?,Hunting,Pigeon Racing,Gambling,Hunting,Drinking
Who are Andy Capps best friends and neighbors?,The Whites,The Smiths,The Ritsons,The Blacks,The Whites
What country are the Andy Capp comic strips set in?,Britain,Britain,Ireland,America,Canada
In what year did the Andy Capp comic strips reach the U.S.?,1963,1959,1963,1960,1971
Which one of these comics was the first comic Jim Davis created?,Gnorm Gnat,The Life of Jon Arbuckle,Gnorm Gnat,Farm Life,Garfield
When did the comic strip Garfield come out?,1978,1978,2000,1952,1995
Who is Garfields on and off girlfriend?,Arlene,Nermal,Arlene,Liz,Irma
Who is the fictional dog that gets pushed around by Garfield?,Odie,Odie,Jon,Fido,Irma
Who is the Garfields owner on the popular comic strip?,Jon Arbuckle,Dr. Liz Wilson,Jon Arbuckle,Clive,Jim Davis
"What is the profession of Irma, one of the supporting characters on the comic strip Garfield?",waitress,cook,waitress,vet,She is unemployed.
What is the name of Garfields veterinarian on the self-titled comic strip?,Liz Wilson,Liz Arbuckle,Liz Wilson,Liz Davis,Julie Payne
"This ancient circus, situated between the Palatine and Aventine hills, was both the first and the largest circus in Rome.",Circus Maximus,Circus of Maxentius,Circus Maximus,Circus Neronis,Circus Flaminius
"Who was the creator of the French circus, who is also thought to be one of the creators of modern circus?",Antonio Franconi,Paul Fratellini,Antonio Franconi,Pierrot Bidon,Arthur Vercoe Pedlar
In which state did the first circus building in the USA open in 1793?,Pennsylvania,Pennsylvania,California,Illinois,Oklahoma
"What was typical for the Cirque nouveau or the New Circus that developed in the 1970s in France, Australia, the USA.and the UK?",No animals were used.,all of these,It consisted mainly of dangerous stunts.,No animals were used.,It used multimedia and laser shows.
What is the presenter of a traditional circus show called?,ringmaster,coiffeur,contortionist,chapeaugrapher,ringmaster
O and Ovo are among the shows performed by this circus group founded in 1984.,Cirque du Soleil,Cirque du Soleil,Circus Smirkus,Circus Amok,Archaos
Name the Frenchman who invented the flying trapeze in 1859.,Jules Leotard,Monty Python,Guy LalibertÃ©,Daniel Gauthier,Jules Leotard
"Which traveling circus of the early 20th century, based in Peru, Indiana, was the inspiration for Cathy Days novel The Circus in Winter?",The Hagenbeck-Wallace Circus,Shrine Circus,Cirque dhiver,The Bertram Mills Circus,The Hagenbeck-Wallace Circus
Which of these is the name of an old British circus dynasty that toured Europe and the Far East with their shows?,Chipperfield,Forepaugh,Ashton,Chipperfield,Barnum
What circus was founded in 1995 by a duo named Fireplay?,The Bindlestiff Family Cirkus,Silvers Circus,Albert  Friends Instant Circus,The Bindlestiff Family Cirkus,Chipperfields Circus
"Who sidelined WWE wrestler John Cena for 4 months, because of a torn pectoral muscle?",Randy Orton,Randy Orton,HHH,Umaga,Mr. Kennedy
"This Diva was one of the best WWE Divas ever, but unfortunately, she retired in 2007.",Lita,Stacy Keibler,Trish Stratus,Ashley,Lita
Who did WWE wrestler Matt Hardy lose his love interest Lita to?,Edge,John Cena,John Morrison,Edge,Batista
When did WWE wrestler Ric Flairs career end?,March 31 2008,March 17 2008,"February 27, 2008",March 24 2008,March 31 2008
On what radio station do the Junkies broadcast?,WJFK,WAVA,NPR,WTOP,WJFK
Which of the following is NOT one of the four Junkies?,Bruce The Hugger,John Auville,Eric Bickel,JP Flaim,Bruce The Hugger
"According to the Junkies, what is the practice of inebriated love making immediately followed by redistribution of wealth and treating your friends to breakfast called?",sturching,the devil inside,escapade,barracuda,sturching
Which Junkies ersatz nickname is The Latin Donkey?,JP,JP,EB,Lurch,Cakes
What is the first tubular steel track roller coaster?,"Matterhorn Bobsleds, Disneyland",Revolution Six Flags Magic Mountain,Storm Runner Hershey Park,"Matterhorn Bobsleds, Disneyland",Corkscrew Knotts Berry Farm
What is the first amusement park with four roller coasters that are taller than 200 feet (61 m)?,"Cedar Point Sandusky, Ohio, USA","Kings Dominion Doswell, Virginia, USA","Canadas Wonderland Vaughan, Ontario, Canada","Cedar Point Sandusky, Ohio, USA","Six Flags Magic Mountain Valencia, California, USA"
What was the first looping roller coaster?,"Centrifugal Railway, Frascati Garden, Paris","Corkscrew, Knotts Berry Farm, Buena Park, California.","Centrifugal Railway, Frascati Garden, Paris","Carolina Cyclone, Carowinds, North Carolina","Revolution, Six Flags Magic Mountain, Valencia, California"
What was the first roller coaster to reach a height of 100 ft?,"Cyclone, Revere Beach, Revere, Massachusetts, United States","Cyclone, Revere Beach, Revere, Massachusetts, United States","Drop-The-Dips, Coney Island","Centrifugal Railway, Frascati Garden, Paris","Gravity Pleasure, Coney Island, Brooklyn, New York"
What is the first modern roller coaster to have a vertical loop?,"Revolution, Six Flags Magic Mountain, Valencia, California","Shockwave, Six Flags Great America, Gurnee, Illinois, United  states","Dragon Khan, Port Aventura, Salou, Spain","Revolution, Six Flags Magic Mountain, Valencia, California","Corkscrew, Knotts Berry Farm, Buena Park, California"
Who is the mascot for Indiana Beach?,IB Crow,IB Crow,Beach Bird,Indiana Jones,Hoosier Hawk
Which roller coaster was Indiana Beachs first?,Galaxy,Cornball Express,Tigrr,Galaxy,Steel Hawg
Which of the following is not a lodging option at Indiana Beach?,Time-shares,Cottages,Time-shares,Camping,Motel
What year did Indiana Beach open?,1926,1996,1929,1955,1926
What is the Shafer Queen?,River boat,Fine dining restaurant,Mini golf course,Antique auto,River boat
What is the Indiana Beach slogan?,Theres more than corn in Indiana.,A beach in the middle of nowhere,A beach in the middle of a corn field,Come and walk on the boardwalk!,Theres more than corn in Indiana.
What type of walk-through attraction at Indiana Beach was voted the worlds #1 in 2006?,a haunted house,a house of mirrors,a petting zoo,a haunted house,a funhouse
What is Judge Dredds first name?,Joseph,Guido,"None of these, nobody knows his first name",Joseph,Johnathan
"The giant city, Mega City One, where Judge Dredd is a lawkeeper, is located in which area that we would recognise nowadays?",East coast USA,West coast USA,East coast USA,Australia,The British Isles
What sentence does Judge Dredd frequently utter during his duties?,I am the law!,Thank Grudd its Friday!,"Shop smart, shop S-Mart!",I am the law!,Respect my authority!
"What was the name of Judge Dredds clone-brother, who he turned in to the authorities when he began to break the law?",Rico,Nico,Tubbs,Rico,Tibbs
Which of the following has Judge Dredd not battled against?,Daleks from the TV series Dr Who,Lobo from Omega Men comics,Predators from Predator films,Daleks from the TV series Dr Who,Xenomorphs from the Alien films
"In the film Judge Dredd, who plays the title character?",Sylvester Stallone,Arnold Schwarzenegger,Lou Ferrigno,The Rock,Sylvester Stallone
"In The New Batman Adventures episode Over the Edge, who does Commissioner Gordon hire to help him kill Batman?",Bane,The Joker,Bane,Two-Face,Jack Napier
What issue did the Joker originally appear in?,Detective Comics #168,The Man Who Laughs,Detective Comics #168,Detective Comics #34,Batman#1
"In Homestar Runner, what power does the blue diamond on Strong Bads mask give him?",He can mentally open Cold Ones.,He can hover about three inches off the ground.,He can make a black dot appear on walls.,He can mentally open Cold Ones.,He can change the color of his mask at any time.
"In the Internet cartoon Homestar Runner, Strong Bad works with Homestar and The Cheat at an unnamed tech company, but what is his dream job?",2nd 2nd assistant space whale scrubber,universal make-out helper for hot girls,2nd 2nd assistant space whale scrubber,death-defying juggling trapeze artist,supreme ultralord of the international gazebo
What is the name of the fan club dedicated to Homestar Runner character Strong Bad?,The Deleteheads,The Deleteheads,The Trogdorians,The Geddup Noise,The Lucho Libres
"In the e-mail secret recipes, Strong Bad claims he has a secret family recipe for cooking which of the following?",Chekt,Cheek,Chekt,Chort,Chemp
"In the e-mail animal, Homestar Runner character Strong Bad is asked to make-up an animal. What is NOT one of the animals that he creates?",La Mongo,Sterrance,Da Huuuuuudge,Deep Sea Fangly Fish,La Mongo
Which movie is this Warcraft 3 quote from?,Cool Hand Luke,Cool Hand Luke,For a Fistful of Dollars,Metal Man,Dirty Sanchez
"In the cartoon series Calvin and Hobbes, what is Hobbes?",A stuffed tiger,A stuffed leopard,A boy,A stuffed tiger,A beagle
What is Calvins favorite subject according to the popular comics Calvin and Hobbes?,Dinosaurs,Mammals,Plants,Space,Dinosaurs
Which of these has not been used as a ring name by Hulk Hogan?,The Bronze Bomb,Mr. America,Sterling Golden,The Super Destroyer,The Bronze Bomb
Who bought the rights to the name Hulk Hogan in 2005?,Hulk Hogan,Marvel Comics,Hulk Hogan,Vince McMahon,Hiro Matsuda
In what year was Hulk Hogan inducted into the WWE Hall of Fame?,2005,2003,2000,2005,1999
"What is the name of Hulk Hogans wife, whom he married in 1983?",Linda,Jessica,Ruth,Brooke,Linda
In what year did Hulk Hogan make his debut in the World Wrestling Federation?,1979,1980,1983,1977,1979
Which of these actors has Hulk Hogan not co-starred with?,John Ritter,Christopher Lloyd,John Ritter,Sherman Hemsley,Ed Begley Jr.
In which of the Rocky movies did Hulk Hogan have a part?,Rocky III,Rocky,Rocky III,Rocky IV,Rocky II
Which video game is the following quote from?,Escape from Monkey Island,Grim Fandango,Escape from Monkey Island,Monkey Island 2: LeChucks Revenge,Simon the Sorcerer 3D
Which video game are the following quotes from?,Call of Duty,Medal of Honor,Hidden and Dangerous 2,Battlefield 1942,Call of Duty
Choose the missing words in the following lyrics to get the name of a song from Guitar Hero 3:,Mississippi queen,Dance queen,Pretty woman,Mississippi queen,Gorgeous lady
"Emmett Kelly, who initially was a trapeze artist, started working as a clown in what year?",1931,1931,1921,1935,1928
"What was the name of Emmett Kellys son, who also played a character named Weary Willie?",Emmett Kelly Jr.,William Kelly,Red Skelton,Emmett Kelly Jr.,Red Kelly
Emmett Kelly took a year off from the stage and circus to serve as mascot for which baseball team?,Brooklyn Dodgers,Los Angeles Dodgers,Brooklyn Dodgers,Kansas City Royals,New York Mets
"Name Emmett Kellys birth state, which is also the location of the Emmett Kelly Museum.",Kansas,Iowa,Kansas,Nevada,Nebraska
How many contestants are there in the Miss America competition each year?,52,50,52,40,51
How many years does the winner of the Miss America Pageant hold the Miss America title?,1,2,4,1,She is Miss America for the rest of her life.
Where did the first Miss America pageant take place?,"Atlantic City, New Jersey","Las Vegas, Nevada","Miami, Florida","St. Louis, Missouri","Atlantic City, New Jersey"
The Miss America Pageant is the number one provider of which of the following?,Scholarships for women in the United States,Medical insurance for women in the United States,Battered women shelters,Job opportunities for women in the United States,Scholarships for women in the United States
During the talent portion of the Miss America competition the contestants perform on stage. What are the two most common talents that are exhibited?,Singing and dancing,Cheer leading and speech,Piano and tap dancing,Acting and juggling,Singing and dancing
"In 1996, a phone-in poll was held to ask the public if they should continue with the swimsuit portion of the Miss America Pageant. What percentage of voters wanted the swimsuit portion to continue?",87%,75%,99%,87%,14%
Who was the very first woman to win the Miss America competition?,Margaret Gorman,Phyllis McDonald,Anne Washington,Margaret Gorman,Lee Meriwether
What year was the Miss America competition televised for the very first time?,1955,1980,1952,1926,1955
Who became the first African American woman to win the title of Miss America?,Vanessa Williams,Halle Berry,Naomi Campbelle,Tyra Banks,Vanessa Williams
How many times can a woman compete in the Miss America pageant?,1,It is not specified.,3,2,1
"What hero do these words belong to: I fear no death, I fear no enemy, our",Fenix,Tessadar,Artanis,Fenix,Zeratul
"Who created Popeye, Olive Oyl and Bluto?",Elzie C. Segar,Elzie C. Segar,Edgar C.  Segar,Max Flescher,Chester Gould
Who was the woman who was the basis for the character Olive Oyl?,Dora Paskel,Dora Paskel,Mae Questel,Carol Lynnley,Barbara London
Who provided the voice for Olive Oyl in the cartoons?,Mae Questel,Carol Lynnley,Dora Paskal,Shelley Duvall,Mae Questel
Which of the following movies premiered in 1948?,Olive Oyl for President,Olive Oyl for President,Popyes Romance,Olive and Popeye,The Lovely Olive Oyl
"In the  1980 movie Popeye, which pair portrayed Popeye and Olive?",Robin Williams and  Shelley Duvall,Robin Williams and  Shelley Duvall,Robin Williams and Carol Lynnely,Robin Williams and  Lily Tomlin,Ray Walston and  Lily Tomlin
Who was Sweet Pea?,It is never revealed.,Popeyes ward,Olive Oyls adopted son,It is never revealed.,Olive Oyls own baby
Who was Olive Oyls niece?,Diesel Oyl,Vega Oyl,Kamon Oyl,Sutra Oyl,Diesel Oyl
What rock group is featured in the Rock n Roller Coaster?,Aerosmith,Metallica,Aerosmith,Guns n Roses,Motley Crew
Who created Captain America?,Joe Simon  Jack Kirby,Joe Simon  Jack Schuster,Stan Lee  Jack Kirby,Joe Simon  Jack Kirby,Jack Kirby  Bob Kane
Captain America made his first appearance in what comic book?,Captain America Comics #1,War Comics #1,Tales of Suspense #58,Captain America Comics #1,"Whiz Comics #2,"
Who was Captain Americas sidekick during World War II?,Bucky,Miss America,Union Jack,Bucky,"Flag Boy,"
What is Captain Americas secret identity?,Steve Rogers,Nick Fury,Peter Parker,Steve Rogers,Tony Stark
"For a brief period during the 1970s, disillusioned by U.S. politics, Captain America changed his name to ...",Nomad,Wanderer,Exile,Nomad,Outsider
What team of superheroes discovered Captain Americas body frozen in a block of ice in 1964?,Avengers,Fantastic Four,Defenders,Avengers,All-Star Squadron
What villain did Captain America and Bucky fight in the very first issue of Captain America Comics?,Red Skull,Viper,Red Skull,Baron Zemo,Just Nazi soldiers
What was the original shape of Captain Americas shield?,Badge-shaped,Star-shaped,Circular,Badge-shaped,Square
Who played the title role in the 1979 TV movie Captain America?,Reb Brown,Reb Brown,Dick Purcell,Matt Salinger,Scott Paulin
"When Captain Americas original sidekick was wounded in combat, who replaced him?",Golden Girl,The Human Torch,Spitfire,Miss America,Golden Girl
